                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.70347,                0.47977,                0.88003,                0.97892,                0.97639,                0.98322,                0.83175,                0.61041,                0.38674,                0.85102,             0.00040844,             0.00040844,             0.00040844
                     37,                0.70493,                0.47924,                0.88433,                0.98444,                0.97164,                0.98203,                0.82511,                0.63475,                0.39615,                0.86045,             0.00040225,             0.00040225,             0.00040225
                     38,                0.69001,                0.46977,                0.87727,                  0.982,                0.98128,                0.98549,                0.82837,                0.61121,                0.37685,                0.85874,             0.00039606,             0.00039606,             0.00039606
                     39,                 0.6857,                0.46562,                0.87658,                0.97104,                0.98397,                0.98594,                0.84115,                0.59161,                0.37414,                 0.8437,             0.00038988,             0.00038988,             0.00038988
                     40,                0.69521,                0.46641,                0.87681,                0.98124,                0.96717,                0.98322,                0.83078,                 0.5934,                0.38665,                0.84583,             0.00038369,             0.00038369,             0.00038369
                     41,                0.67567,                0.46005,                0.87933,                0.98469,                0.97127,                0.98436,                 0.8371,                0.60463,                0.37562,                0.85078,              0.0003775,              0.0003775,              0.0003775
                     42,                0.67276,                0.45761,                0.87601,                0.98988,                0.97835,                0.98389,                0.82958,                0.60462,                0.36985,                0.84836,             0.00037131,             0.00037131,             0.00037131
                     43,                0.67278,                 0.4575,                0.87149,                0.98323,                0.97401,                 0.9856,                0.84206,                0.58429,                0.37063,                0.84535,             0.00036513,             0.00036513,             0.00036513
                     44,                0.66348,                0.44799,                0.87394,                0.98848,                0.97894,                0.98569,                0.84091,                0.59052,                 0.3619,                0.84062,             0.00035894,             0.00035894,             0.00035894
                     45,                0.65307,                0.44064,                 0.8692,                0.97962,                0.98104,                0.98583,                0.84888,                0.56582,                0.36079,                0.83686,             0.00035275,             0.00035275,             0.00035275
                     46,                0.66267,                0.43861,                0.87206,                0.97265,                0.98513,                0.98558,                  0.851,                0.55811,                 0.3525,                0.83461,             0.00034656,             0.00034656,             0.00034656
                     47,                0.65759,                0.43448,                0.86492,                0.98823,                0.97621,                0.98638,                0.83349,                0.59703,                 0.3629,                0.84577,             0.00034038,             0.00034038,             0.00034038
                     48,                0.64069,                0.43052,                0.86745,                0.98519,                0.97613,                0.98598,                0.85668,                0.55316,                0.34742,                0.83273,             0.00033419,             0.00033419,             0.00033419
                     49,                0.64614,                0.43406,                0.86201,                0.99066,                0.97129,                0.98566,                0.85385,                0.54634,                0.34735,                0.83318,               0.000328,               0.000328,               0.000328
                     50,                0.64284,                0.42832,                 0.8592,                0.99194,                 0.9806,                 0.9867,                 0.8599,                0.53502,                0.33624,                 0.8314,             0.00032181,             0.00032181,             0.00032181
