                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.82411,                 0.5536,                 0.9235,                0.97652,                0.96608,                0.98029,                0.77381,                0.75703,                0.45531,                0.90688,              0.0094225,              0.0094225,              0.0094225
                     37,                0.81727,                 0.5483,                0.92306,                0.97983,                0.96208,                0.98406,                0.78369,                0.72025,                0.44259,                0.89278,               0.009406,               0.009406,               0.009406
                     38,                0.81219,                0.54041,                0.91807,                0.97874,                0.96304,                0.98228,                 0.7894,                0.70747,                0.44131,                0.88906,              0.0093895,              0.0093895,              0.0093895
                     39,                0.78763,                0.53113,                0.91345,                 0.9755,                 0.9427,                0.97558,                0.77347,                0.72355,                0.45342,                0.89051,               0.009373,               0.009373,               0.009373
                     40,                0.80202,                0.52942,                0.91368,                0.98835,                0.97437,                0.98453,                0.80986,                0.68339,                 0.4302,                0.88733,              0.0093565,              0.0093565,              0.0093565
                     41,                0.80425,                0.53076,                0.92504,                0.97396,                0.97263,                0.98217,                0.79687,                0.71115,                0.43061,                0.88808,                0.00934,                0.00934,                0.00934
                     42,                0.78068,                 0.5252,                 0.9156,                0.97997,                0.97369,                 0.9814,                0.80493,                0.67323,                0.41798,                0.87767,              0.0093235,              0.0093235,              0.0093235
                     43,                0.78971,                 0.5148,                0.91107,                0.97557,                0.97627,                0.98259,                0.81935,                0.64532,                0.40904,                0.86752,               0.009307,               0.009307,               0.009307
                     44,                0.77588,                0.51088,                0.91002,                0.97863,                0.96138,                0.97844,                0.81543,                0.65707,                 0.4136,                0.87434,              0.0092905,              0.0092905,              0.0092905
                     45,                0.77056,                0.50703,                 0.9085,                0.98632,                0.97425,                0.98596,                0.82289,                0.65393,                0.40751,                0.86807,               0.009274,               0.009274,               0.009274
                     46,                 0.7792,                  0.502,                0.91033,                0.98563,                0.97328,                0.98422,                0.81602,                0.66133,                0.41833,                0.87341,              0.0092575,              0.0092575,              0.0092575
                     47,                0.77691,                0.49985,                0.90378,                0.97796,                0.97183,                0.98313,                0.80464,                0.67418,                0.41248,                0.88059,               0.009241,               0.009241,               0.009241
                     48,                0.74664,                0.49689,                0.90339,                0.98633,                0.98037,                0.98655,                0.80439,                0.68297,                 0.4073,                0.88381,              0.0092245,              0.0092245,              0.0092245
                     49,                0.76822,                0.49657,                0.90159,                0.98194,                0.96619,                0.98102,                0.79273,                0.71346,                0.41907,                0.89228,               0.009208,               0.009208,               0.009208
                     50,                0.76283,                0.48741,                0.89726,                0.97762,                0.97409,                0.98543,                0.80898,                0.68829,                0.40579,                0.87591,              0.0091915,              0.0091915,              0.0091915
                     51,                0.74993,                0.48296,                0.90158,                0.98108,                0.97227,                0.98407,                0.81406,                0.67347,                0.40788,                0.88025,               0.009175,               0.009175,               0.009175
                     52,                0.74106,                0.47897,                0.89873,                0.97755,                0.97451,                0.98507,                  0.824,                0.62447,                0.38619,                0.86289,              0.0091585,              0.0091585,              0.0091585
